Year,Afghanistan,Africa,Akrotiri and Dhekelia,Aland Islands,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Asia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire Sint Eustatius and Saba,Bosnia and Herzegovina,Botswana,Bouvet Island,Brazil,British Indian Ocean Territory,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Cocos Islands,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,East Timor,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Europe,Falkland Islands,Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,French Southern Territories,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Heard Island and McDonald Islands,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (country),Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North America,North Korea,North Macedonia,Northern Cyprus,Northern Mariana Islands,Norway,Oceania,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Saint Barthelemy,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Martin (French part),Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South America,South Georgia and the South Sandwich Islands,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Svalbard and Jan Mayen,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,United States Minor Outlying Islands,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Vatican,Venezuela,Vietnam,Wallis and Futuna,Western Sahara,World,Yemen,Zambia,Zimbabwe
2012,320375,5267782259,228,0,3607731,12940666,0,0,834524122,0,0,91860190,352905,0,1420634254,1181980850,17148,1745827,864230,0,12956549,0,1790687,0,2385674,15430366,0,1441157,69364079,0,5733041,35823596,0,658958622,0,0,24053,4397793,12577632,1221828,86831065,63502180,51337438,5376,0,264395595,104127087,10520197,82869421,0,0,55188590,33928,43350186,0,3817571,55959357,1976212,13471715,12424,66874,28250,1015877932,10573,0,0,2191515,968715,3108502,253710,1487251,53052,231594,0,3332085,207766781,808061870,102368,0,389885,20911,2026537,361510,0,0,5854630,3430177,1019746,47876,47275794,0,1958175,0,0,0,24570,19066712,0,222799570,17750572,1797857,622271,0,8840185,0,989963,174,283657698,94028810,10327306,5588978,114501,0,85954,6403444,226789,179947,0,0,120150225,26858485,0,768877,21844,483084,142482684,9655,20573,115500,31439517,103595,0,47568,0,0,77945161,19817490,6584564,0,47024505,0,0,0,900330,11792,0,158846536,0,385826,0,28442270,1967346,0,529110,344283478,332996894,93242665,0,23322808,0,42445,1256811,8375722,1757355,103209468,0,0,424340051,2084692,1191480,33701,20003,13759,1190478396,20216,9348513,0,2690,4567650,5987621,58902569,21235972,4716628,0,182932,4075028,85170,17834,0,9933037,729956737,513249,0,0,0,0,0,0,0,0,0,14938,212721,34583291,2741119,0,110174532,0,0,94525,9924,187684,3107546,86728638,1043539687,0,43087,362285172,8712118,1953450,59102474,548696,0,42074,0,1454078,2523,78296,246096315,103212909,6646061,0,0,30878,396401,6194997,1252181,0,0,87905907,18191295,7008,548680,148110320,7700,0,1214453,3658443,580833,0,70376091,49423316,0,0,10154836574,13522,497048969,57422504
2013,165025,6264735032,0,0,218547,2280668,0,0,877364629,0,10902,96382983,321298,0,1313585416,614843130,9991,1998242,2391808,0,13228007,0,638821,12108,7243818,31599328,0,600830,52029825,0,290180,32500212,0,313123961,0,0,18960,1730730,28879296,2062171,184914414,89698837,93974314,0,0,459782845,133238550,8873798,102532352,0,0,80231360,66344,51102159,0,7195884,124053275,125918,17365593,4256,70056,3894,1193778164,8442,0,0,3772993,234983,1903265,417899,5332201,110614,282831,5466,3095265,246644793,321340091,45069,0,532379,63245,327902,147484,0,0,6100720,4037958,742931,57558,146375172,0,1244627,0,0,0,11600,35063854,0,271397244,15875267,2445800,887005,0,34242643,756,101548,10179,189228646,79074666,9986287,5014487,271733,0,291705,2155228,381608,340457,0,12089,29637854,14266163,0,176319,8352,236134,146072885,5460,63066,1038401,16244976,147874,0,25123,0,0,103380743,17514432,5805914,0,93191882,0,0,0,2294086,18457,4824,207364206,0,542170,0,5879022,141804,0,195589,338500336,334474116,40948015,0,17573433,22210,169581,1438355,22722337,2886187,177030309,0,0,564804196,1796565,448596,7483,13625,50872,625109636,8160,5224885,8500,50298,3997784,7264909,94858173,13960429,7738245,0,28352,3398367,160342,43101,4032,3458686,289547485,1183497,0,0,8282,0,0,0,0,0,0,0,262365,60517617,787588,0,95345925,0,0,22134,3570,6075,2596483,90832570,843183703,0,151973,506811874,1851800,1336177,89598817,431482,0,86704,0,2328594,11778,246083,229094442,109119938,23225414,0,0,87758,602772,10417170,2241318,0,0,89870499,12989390,0,407288,122596609,0,0,800807,3274125,821480,0,177949256,40836888,0,0,9932758080,33357,502332118,44312443
2014,132170,5773280409,0,0,103112,5980090,0,0,770910819,0,7872,59518272,271093,0,1598524613,729985688,40533,1478271,618068,0,13839044,8153,3049835,29162,3478478,26729227,0,1076961,37788508,0,451566,16097754,0,478842510,0,0,44310,1208119,22949508,1164002,157089162,88635652,101966203,70300,0,468004396,110247022,13318637,159919754,0,0,114031264,34254,38802912,0,4493009,67479873,189324,10759351,0,5149,29177,1121171407,10325,0,0,2530866,1473924,1630969,287717,2116598,160336,342710,8705,3692467,220038404,668804085,780,0,1733022,13686,1473123,181313,0,0,4313713,3457957,1065441,46541,97081851,0,1148347,2919,0,12948,46459,15319239,0,306980464,21232407,2911713,431153,0,29632133,34800,278336,393802,212207446,181669148,11147243,7506127,33455,0,74116,2213464,292425,653248,0,0,79232030,9149018,0,78323,47788,375880,159371204,39106,10536,1109967,27376825,58275,0,47827,0,0,78639567,13781408,15679016,0,82097005,0,0,0,824010,29197,0,69615220,0,1262465,0,9101535,58208,0,193061,321792739,333591036,24896724,0,27060442,41243,543815,1453206,20825191,1684642,200697895,0,0,398009056,13164909,235077,6000,0,67219,744810641,11917,6682959,0,66,4811567,10252686,55889596,11837396,11009700,0,167549,609985,72801,60123,18816,3693376,599235817,431860,0,0,22965,0,0,0,0,0,0,0,265017,64706849,245178,0,128915693,0,0,40784,0,4247,2254019,86252101,959575602,0,300032,528279345,2692075,1785931,71582305,471938,0,477880,0,974010,47860,208496,187910546,115739078,12970264,0,0,210375,660707,5741108,2383101,0,0,64841430,48902787,5104,183426,130781522,0,0,376524,4440729,791514,0,182776178,61492218,0,0,10143004423,54522,422419874,43841009
2015,135354,6410550377,0,0,379463,2749347,0,0,895182337,0,0,70809431,174329,0,1538768843,769633106,18467,5374996,917798,0,6190753,0,5345880,6660,5381971,26840039,0,1028567,56693288,0,792063,21958707,0,602406106,0,0,135390,1429108,22376710,2474887,190938515,97623188,103874477,147081,0,540864617,112790492,20002215,117148844,0,0,73780604,124914,47081164,0,5181981,83088434,544020,21537899,5985,30614,14313,1227621174,26913,0,0,3254878,692529,2731520,300748,5307611,287320,300500,7274,1730582,268026155,478196752,7955,0,618606,12311,912802,371121,0,0,4701834,2261531,1325431,62241,114741995,0,1185314,10120,0,0,43855,21658231,0,272678803,22401268,4213892,600291,0,26933723,12636,216891,118362,174571771,222531244,10273279,12586280,649180,0,217790,2455700,543144,674661,0,46859,79631386,14599158,0,131022,14005,143681,167576151,28242,22505,204251,55905666,88621,0,39575,0,0,73871271,15962730,8759429,0,72765744,0,0,0,374136,0,0,107471250,0,825929,0,31327730,694855,0,138754,335620081,289232782,30228444,0,4375695,8926,167474,1315099,12826062,1549565,215404551,0,0,496557104,5880607,434908,0,0,13461,805144813,17577,4489094,0,70742,7558374,32342324,48779469,15390306,16672735,0,204289,2307144,48339,62384,248908,3727466,401664667,1184266,0,0,8000,7990,0,0,0,0,0,0,255944,42981600,551127,0,135044962,0,0,16418,0,31302,325568,63703214,1034020552,0,261802,589628850,3240547,610094,84672246,1096170,0,62598,6162,2701298,81775,102040,245156487,108175727,23038786,0,0,61612,419494,17719018,2440698,0,0,108764840,49686647,39848,345191,173367369,0,0,1840909,2719504,993052,0,135897565,51308001,0,0,10763238500,17368,481083228,49231097
2016,239638,6484023298,14242,0,316418,3314126,0,0,896636708,0,1800,67686000,282870,0,1426206473,491256141,0,2377101,1263020,0,7289752,6588,641893,7568,3600177,32049510,0,584015,128848273,0,570007,15161754,0,564387879,0,0,223898,2360595,23827952,2052407,203238596,119030671,39913332,0,0,606257769,129859504,9988544,85434242,0,0,123100313,24806,50925006,0,5943072,97350975,405910,8314562,0,83076,2520,1382355946,1580,2160,0,1075457,110214,3172667,491750,1626177,117930,139535,152,1362915,216799217,456121453,81069,0,797952,28586,648457,515778,0,0,5196790,4225714,1171985,42363,114802876,0,1674490,1995,0,0,37696,23520799,0,286175895,19129985,6397395,280087,0,30668088,39997,75781,994,285612631,39160586,13616636,12152685,91752,0,154144,2621399,69301,284776,0,12406,39633810,7064388,0,80098,97669,228625,157075503,20194,51961,111154,24400199,68465,0,2800,0,0,107081913,17035242,11350529,0,97063034,0,0,0,1414116,7944,3042,147492538,19640,1061664,0,5369752,200451,0,325661,282758851,252918964,24083617,0,54550079,0,518197,1073294,21341433,2621885,249513188,0,0,456741812,894815,272319,0,27487,4065,501456247,16751,8970682,0,51592,9239716,6922810,59725638,21485705,18841798,0,78864,4091435,38437,76953,84423,5115864,407837919,914493,0,0,0,0,0,0,0,0,0,0,197396,69305573,394849,0,88928688,0,0,10599,20076,20288,1095350,48000972,1181587844,0,152186,540448656,2267727,1275985,70472719,854477,0,46370,505,1371843,757,176416,230502953,151754045,20303895,0,0,410825,297849,12409803,3916862,0,0,92694158,24867865,2320,174250,161934408,0,0,491183,2568266,782746,0,194852925,50264956,0,0,10506137123,0,465440299,34688650
2017,390935,5839046109,0,0,2160056,6490339,0,0,845012726,0,0,93954508,484939,0,1151515558,721685250,29730,2393755,2790074,0,5866344,0,991874,0,4185215,34897026,0,806699,89403186,0,3693873,37455201,0,602088779,0,278,0,2540417,25954830,1061000,116002597,128364269,87148359,0,0,499606762,97001989,40842469,104329171,0,0,63181747,58701,38826247,0,3392930,58200456,2447066,21803369,0,13556,21824,1231718568,22515,1818,1068,761377,985231,1520791,523950,5402365,64913,80946,0,2006033,205346373,410447389,28548,0,782923,19645,2523683,158404,0,0,4537893,4701448,1522213,36079,125604766,0,963309,81468,0,0,12768,22088294,0,271859894,14052406,1779240,397770,0,18173087,24083,190361,0,244752680,18270905,13466042,7383551,338601,0,64692,7906871,390539,181934,0,18687,152950095,6128496,0,328538,24512,306857,106634855,15227,36192,390016,25418718,113962,0,12088,0,0,81466642,12350469,1139788,0,91619928,0,0,0,1215597,8386,0,217303185,0,705867,0,7576703,2197213,0,259249,271290799,222634577,26976056,0,14030952,0,771676,1046676,9786055,2864391,221783159,0,0,581559120,2030709,1132328,9620,13095,27253,733694836,42696,8261265,0,7110,3674417,8556500,79627505,10935871,6628553,0,39436,7014186,40596,42623,309443,5130214,321206537,607434,0,0,13545,0,0,0,0,0,0,0,199138,65513433,1618155,0,84602984,0,0,19994,29775,6906,241313,75844021,1080647888,0,291066,456318257,5972886,676229,70500625,384443,4747,54394,10027,1176577,14641,114610,181764039,77440969,19188742,0,0,135281,865155,7789067,2238124,0,0,70191928,40528149,6450,505662,183989853,0,0,411758,3335302,819050,0,96330640,18909014,0,0,9796910833,22804,399953294,37831052
2018,279323,4777262914,1365,0,142347,723119,0,0,696783454,0,9935,90533990,363898,0,817730267,882869291,11378,1829426,376408,0,9189606,7106,732878,7552,2330476,16650857,0,211762,83111417,0,146255,23900688,0,352917390,0,7736,5790,1690374,10642666,719426,58667123,67598369,64550097,5428,0,406000385,73760532,9918015,43857620,0,0,41521332,70190,42633973,0,3201401,39456769,80107,5473142,0,30089,12022,1093832467,28269,9559,0,1126949,1263111,2987059,292983,2209398,47824,155598,33010,1534803,115724354,457522827,11072,0,825027,79756,310158,335761,0,0,4570597,2986570,648447,212502,84061709,0,566605,0,0,5640,7720,10901514,0,192143790,10865146,2470530,349508,0,29883325,31561,105294,4484,225709626,48522436,10861600,8843924,114743,0,71290,1245975,245558,706843,0,3385,57282844,2858837,0,51474,24676,367942,93682635,117796,10669,155473,14331445,116399,0,17219,0,0,93606940,14945336,3039263,0,47151747,0,0,0,190579,5004,0,135363964,0,348514,0,2034813,123537,0,188172,313574259,149314636,18682382,0,16389396,10515,178029,653669,16554254,2369800,186728641,0,0,432889198,1556021,290945,143,26700,31324,898187741,7248,8322170,7266,0,2321254,12734433,45804308,14083244,6343277,0,94934,886444,43891,22368,184279,2311342,426371595,357189,0,0,21606,0,0,0,0,0,0,0,154888,36482789,3272433,0,61968036,0,0,19155,0,15113,106470,56721426,774573139,0,99661,358441724,980914,952210,38589324,627162,0,840429,4126,879419,28940,40637,150718308,38810784,11988820,0,0,61309,88606,6415380,1746235,12034,0,46213027,15673454,1644,522879,157827113,0,5580,904885,2721115,870487,0,129346979,16387011,0,4350,8158166085,27469,391734141,43588093
2019,185130,5779614571,5643,0,861555,3620252,0,0,941091463,0,0,63429994,367854,0,1444556151,731603845,46603,4303854,588194,0,11173055,0,3446355,32296,5965562,30179248,0,357160,164180138,0,1843400,20160544,0,618240657,0,0,53620,3684319,18392995,1138431,142576929,109040277,54746401,0,0,447258386,102215339,12202857,96190754,0,0,99437623,99594,42465703,0,5325596,49450293,905384,11467599,0,21648,6549,1184146110,0,6800,10127,1985074,1090286,3433676,265466,3751915,128936,585387,507,4964026,212373572,529192594,5440,0,199806,10534,3761267,200075,0,0,5171636,3098685,953272,171847,121773295,0,697842,46552,0,0,82879,21873020,0,263069124,18278391,6007149,644027,0,43346966,1040,267952,6240,213253529,101595925,13021131,19281594,122654,0,159295,2831457,234290,476386,0,10312,108342755,13814729,0,744562,100045,393727,179101176,64932,34853,805003,35731218,94206,0,49695,0,0,76245809,14383942,6597444,0,72395312,0,0,7421,1093771,9579,0,213604373,0,348999,0,2843421,740876,0,321229,322400650,279073710,12955853,0,25472340,14877,639481,1505658,22373137,2837588,199073538,0,0,531365777,3187687,1437372,0,43341,82401,742082957,30677,5565891,0,53755,10865828,7668304,68536019,20478223,17653630,0,139870,1337308,95089,54501,329115,5927347,463457464,556678,0,0,21359,0,0,0,0,0,0,12444,197009,56874691,2803722,0,87667098,0,0,4397,6683,64874,831728,70790712,1309137226,0,262630,380392478,4693844,1387354,68460235,1222891,0,82719,533,8190487,47051,77780,196562939,155533208,18036925,0,0,153204,354756,5627601,4508489,0,0,58947331,27483163,1152,1053420,134260043,0,0,650493,3015142,274770,0,251111995,32123528,0,0,10335949277,27979,460336501,48324539
2020,695380,6258188465,0,0,791683,5789373,0,0,747212560,0,0,212633195,130380,0,1366438920,455498716,0,1612618,1362389,0,11476604,0,2823123,4826,4373736,31090777,0,182679,120381155,0,4709181,20284239,0,655820795,0,4482,86427,997849,19561236,1345658,189136253,152778031,12910754,0,0,635642191,136530654,12973530,99662308,0,0,142366496,24808,48422012,0,4532280,74131756,853844,32085867,0,49805,68182,1280042007,0,9660,4192,1806046,677296,3922906,374351,2826326,130859,2136221,0,1882848,186817638,517209017,1988,0,418709,27977,1190504,296675,0,0,5412646,5076007,1220084,81182,166215887,0,683190,14796,0,0,11869,22837323,0,258675446,18785501,5808470,902802,0,65597426,11094,242690,16651,157134981,18693826,12552698,14265545,133247,0,144195,2352601,331192,674408,0,47265,73034448,10210145,0,567476,24112,228597,190922121,15751,76103,297126,22022647,188784,0,15486,0,0,93732345,15368985,2466420,0,91450665,5046,0,0,620464,13780,0,149576998,0,325288,0,743737,1322340,7826,355357,304026391,338976369,27826941,0,4731473,47507,295568,1098964,23116239,3499249,238183063,0,0,497753965,955914,299457,43395,11328,6425,463392414,40199,5051726,9400,96337,6237029,5704459,132868993,21793783,13499216,0,345426,1291319,0,15909,317203,6125436,453747069,592596,0,0,5100,5841,0,0,245,0,0,14810,175592,67098013,890864,0,82635837,0,0,23948,0,72749,457096,67893171,1640793033,0,289976,655542092,2439975,871189,103893283,1310760,0,207531,7840,5251575,45683,171558,187957422,170063139,23647769,0,0,320463,610179,7374716,4177372,9799,0,59099371,34003066,10047,495233,168884814,0,0,2149036,2945885,270652,0,328465259,35744437,0,8122,10743775852,7643,381968436,20284736
2021,596684,5693254561,0,0,1107891,3981560,0,0,687008731,0,5890,73423738,101916,0,1366417773,506020700,13569,2071516,978149,0,11208434,0,679995,39084,2888087,33650602,0,676404,129538039,0,1782559,81687943,0,525990801,0,0,32091,749050,23876098,833559,150702941,145982559,107065865,0,0,521690622,136642189,8831493,87505180,0,0,58515134,56793,35332935,0,1574898,41090942,309138,20009195,0,63945,9339,1136356527,23301,4080,6417,1818715,181874,1639581,529786,835148,126052,807740,0,2619458,226482850,502809825,28944,0,596361,53371,1187703,89525,0,0,3695165,4732063,1031519,31392,83252431,0,3063020,0,0,0,21781,11182057,0,217796493,13139039,1077157,567874,0,12237133,53669,135813,801771,411511230,14161036,12636019,10630809,135342,0,227364,5861210,151755,200292,0,15129,62206192,14678290,0,196611,22670,173560,126494187,9496,124552,522108,13846803,67941,0,12670,0,0,68386988,11590251,1427485,0,97840433,0,0,5160,3424681,1182,0,155926139,0,348031,0,684067,1461986,0,266969,269886976,293541984,33547070,0,54581561,3255,402915,967936,8081510,5549008,240821639,0,0,509458451,227346,672228,3200,23106,14241,514022726,127731,9560252,0,98061,2859770,5730867,73431334,14604939,4583117,0,38851,1062054,35230,0,254978,3103215,468897590,508940,0,0,0,0,0,0,56567,0,0,0,231219,68765653,652131,0,56077590,0,0,0,0,40864,789356,89943951,983806849,0,59823,590171146,2785902,393314,91054801,186461,0,49250,3900,1064662,77615,133868,170510419,71914094,16037956,0,0,7332,953154,7943455,2606272,0,0,61884838,7257335,0,193585,183165563,0,0,801569,4388773,218201,0,95648129,20152616,0,0,9569770198,51996,350461054,34034168
2022,62534,5619312532,742,0,985757,1985828,0,0,757248376,0,0,176096676,334779,0,896614532,657224160,56004,1445159,454120,0,6076132,0,974276,23074,3032759,29037941,0,264462,145178836,0,3894190,62363326,0,585074930,0,0,35417,1288550,18274008,924598,87110755,117457643,37116363,4901,0,495490702,94263017,13328202,73062853,0,0,120316713,3879,48103136,0,5466820,60167066,1541199,14340901,0,15632,4100,1198613751,48162,0,0,2128782,113688,4585449,647360,2387572,130170,632490,148,1592954,185359709,386341444,82781,0,291395,27128,2602351,129193,0,0,5382204,5450667,585084,295426,134478546,0,956352,0,0,0,17950,14126637,0,250574994,15304189,1513831,461889,0,19350768,6232,800518,100206,263883569,14763043,11867484,8221075,134897,0,84375,3437209,173828,754372,0,30606,40909751,4344966,0,230669,19255,102818,124614516,36841,29291,440912,24726161,89166,0,4403,0,0,65876518,9588228,621456,0,83922783,0,0,0,1349549,10515,0,153746648,0,1236851,0,6227275,1144712,0,1089995,238344491,182171577,28971004,0,14890190,12614,111362,1077452,11200775,4696349,237608685,0,0,462740968,628862,318280,74652,0,27760,669104447,61900,11176565,0,21108,3108182,10052839,94546288,20598215,4652658,0,123454,2508136,55228,0,382411,7946608,322144813,590275,0,0,16929,0,0,0,0,0,0,0,264082,71374009,860770,0,88827419,0,0,50954,54478,107486,328198,68912618,1354893242,0,1508450,501484868,9006134,649064,69186133,192099,0,45976,32979,732267,4732,70699,139925251,19691924,22723460,0,0,37237,455889,2637188,1764358,0,0,44275210,22467779,12472,902054,195535530,0,0,966012,2339209,221806,0,192284013,11984020,0,0,9389007089,52570,379736335,46559681
2023,77816,5399733276,0,0,206645,1784041,0,0,838502091,0,3828,72158542,131741,0,1270533819,939522922,12680,467476,635139,0,11152059,0,187886,20163,6723436,19505913,0,653970,110104991,0,123008,87289683,0,438787011,0,0,18153,591328,24324193,816816,83413362,134064600,389543639,48168,8022,453367571,84121479,32263293,94357749,0,0,66803100,23078,35645879,0,1704802,33272976,49066,33977707,0,15920,6480,1065586981,19871,0,6534,4224150,882319,2159386,431385,1250098,180581,766052,13632,2157452,151286924,331497029,47842,0,357812,27759,1395510,568849,0,0,4551756,5808691,469423,148731,81342859,0,3598657,0,0,7400,0,23808673,0,210373536,11247757,5732456,1094101,0,58179406,0,42259,135741,189590716,56149240,9251088,6498296,51818,0,89907,3308342,483880,318999,0,9385,25363873,5062110,0,61069,0,90387,266688689,11492,46662,694971,21548985,54140,0,22329,0,0,68934642,9774217,1157917,0,93222257,0,0,0,3510049,0,0,180234333,0,106744,0,7989177,0,0,517208,268888203,327915177,33651654,0,23739152,19545,427243,605844,37481387,3248520,168906130,0,0,864721915,286386,415901,3096,7272,13737,950835954,0,3763692,0,18649,6522218,9555172,58269278,11998948,7657835,0,27312,1109083,24430,0,93738,879659,304596664,333684,0,0,0,0,0,0,0,0,0,0,193174,72092919,475803,0,81620806,0,0,3125,1617,68803,336593,78990387,987629313,0,215413,537239445,4713680,904897,76910179,1423361,0,31930,9120,1236136,89805,69603,123943110,119841595,11280242,0,0,159639,201990,4854824,851724,2856,0,50803866,8714273,0,328450,118646239,0,0,1160047,1958196,290886,0,186152216,22056505,0,0,9804951313,9556,396787763,44585016