Year,shrublands,savannas,forests,croplands
2002,728777625.1,475817204.8,73251111.4,107368251.8
2003,573379511.5,532685052.7,101332651.1,101751045.4
2004,670440859,488714442.7,105853172,110202201.9
2005,590081859.3,550919695.7,100758164,123061114.7
2006,631957363.7,451702803.5,94018824.35,109623650.9
2007,653118943.8,513972975.2,107748911.9,107762752.9
2008,560767105.1,494334913.1,93565402.89,116626504.1
2009,507243750.4,440298520,90362843.67,100831056.5
2010,551658463.1,482998816.9,116884157.5,93195437.73
2011,728103223,460663868.7,89489032.67,91231824.88
2012,699480246.8,469496140.4,97261762.16,87586471.68
2013,461696099.1,437685400.2,85095508.57,77234813.39
2014,516994645.7,440713933.7,88482949.05,91673013.48
2015,519224153.5,441224020.6,97581622.94,89712430.39
2016,451082149.6,454031311.4,99640541.56,86180862.99
2017,532435315.8,411709515.3,91726722.5,90848337.42
2018,485973079.3,418613911,83405648.99,67759351.28
2019,437796147.8,405536242.4,103215705.5,82318616.19
2020,418906607.9,441936595.7,99688518.35,81022358.01
2021,478173839.7,403138979.7,92350732.91,76528566.26
2022,424367049.4,401552088.5,87923784.75,72213217.5